note_id,content,color,format,created_at,expires_at,type,is_prompt,prompt_id,created_by,is_auto_generated,state_id,state,user_id,position_x,position_y,added_at,weather_level,z_index,rotation
71,Note #7: BwU61Q5Cps39C08kBr5GynN0sV6a1L,#7AFF7D,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,71,trash,SEED-TEST-DATA-USER-001,0.45,0.35,2025-04-23 15:32:02,0,4,5.2
72,Note #8: oN4 PLAl4eWhSFy3CevCkerPmdDg9c,#7AFF7D,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,72,public,,0.34,0.31,2025-04-23 15:32:02,0,4,4.1
73,Note #9: Hj6nE n6Q9FRiWxAwhyMILJ7PGp6CR,#FF7EB9,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,73,public,,0.19,0.17,2025-04-23 15:32:02,0,8,0.7
74,Note #10: AaBT6ze3tn9eKC1SVwOifnpgEi4 Te,#7AFF7D,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,74,public,,0.86,0.25,2025-04-23 15:32:02,0,1,8.9
75,Note #11: JiPRYV8A Qcys8AKkcaoM5IY5C7bQo,#FEFF9C,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,75,personal,SEED-TEST-DATA-USER-001,0.64,0.53,2025-04-23 15:32:02,0,10,3.1
76,Note #12: E5BD4ZJzdv6V7cYqTk6J9V8n7jwlL7,#7AFF7D,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,76,personal,SEED-TEST-DATA-USER-001,0.82,0.85,2025-04-23 15:32:02,0,0,6.8
77,Note #13: 9YJusljvI5SYfzG4uAPmHCYsaRxsXO,#FF7EB9,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,77,trash,SEED-TEST-DATA-USER-001,0.7,0.44,2025-04-23 15:32:02,0,7,-0.3
78,Note #14: CembyT366CwZ9PBEG4lBtXYY9QVEsB,#FEFF9C,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,78,public,,0.69,0.79,2025-04-23 15:32:02,0,10,-3.4
79,Note #15: eGhUJkCRp9D YYvOsMPNuuE6Ko3wvv,#7AFF7D,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,79,personal,SEED-TEST-DATA-USER-001,0.13,0.44,2025-04-23 15:32:02,0,10,7.4
80,Note #16: oeKCF6b4ePHbT3awjQJtWbIFXtnl0U,#7AFCFF,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,80,personal,SEED-TEST-DATA-USER-001,0.61,0.23,2025-04-23 15:32:02,0,6,6.2
81,Note #17: LmoqR2Vw77m3kbJbKRVNv31kdxE8dN,#FEFF9C,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,81,public,,0.51,0.59,2025-04-23 15:32:02,0,9,-8.5
82,Note #18: xTY81xjJM5zJxwbonrK2GV8DBmNYly,#FEFF9C,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,82,public,,0.37,0.81,2025-04-23 15:32:02,0,10,-3.5
83,Note #19: MRkonL3KQnDT8Dx86vTtKDssFNYhG3,#7AFCFF,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,83,personal,SEED-TEST-DATA-USER-001,0.79,0.35,2025-04-23 15:32:02,0,10,-7.3
84,Note #20: KHL6U4ETwFiWjcl8xGOjsbKy5fuZQC,#FEFF9C,text,2025-04-23 15:32:02,2025-04-24 15:32:02,sticky,0,,SEED-TEST-DATA-USER-001,0,84,public,,0.76,0.53,2025-04-23 15:32:02,0,5,-0.2
85,Prompt #1: rV5C9I4p10Ivlo0ucRmeG7kCBPm4aS,#7AFF7D,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,1,,SEED-TEST-DATA-USER-001,0,85,personal,SEED-TEST-DATA-USER-001,0.22,0.74,2025-04-27 00:47:53,0,4,-1.3
86,Prompt #2: cJCVkl42VygQnKmb5h6pREoh90xrpD,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,1,,SEED-TEST-DATA-USER-001,0,86,personal,SEED-TEST-DATA-USER-001,0.29,0.64,2025-04-27 00:47:53,0,10,5.1
87,Prompt #3: zfhxw3zyEa0MF8qR ZkELC sTS8iVR,#7AFF7D,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,1,,SEED-TEST-DATA-USER-001,0,87,public,,0.76,0.34,2025-04-27 00:47:53,0,2,-9.9
88,Prompt #4: mu634pKazWAZPShl0BdJpfTgDBSMSK,#7AFCFF,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,1,,SEED-TEST-DATA-USER-001,0,88,trash,SEED-TEST-DATA-USER-001,0.33,0.36,2025-04-27 00:47:53,0,10,6.8
89,Prompt #5: Qz3eVg1dMMC4d4PMPqX8NrDOcZP6mW,#FEFF9C,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,1,,SEED-TEST-DATA-USER-001,0,89,public,,0.66,0.43,2025-04-27 00:47:53,0,1,-4.3
90,Note #6: p5wbyi3TG t5oSkFelS3VyMmpephV4,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,90,personal,SEED-TEST-DATA-USER-001,0.75,0.63,2025-04-27 00:47:53,0,3,2.1
91,Note #7: JA6njYR355DE h SQLKKfYlMS8WT J,#7AFCFF,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,91,public,,0.71,0.73,2025-04-27 00:47:53,0,0,6.5
92,Note #8: 6kbIyXBw7b KpjBKqCjvQUVJIB0uIX,#7AFF7D,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,92,public,,0.47,0.54,2025-04-27 00:47:53,0,7,7.2
93,Note #9: gSmwTO11k2TZAppggvLfYMkfsfS9g0,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,93,public,,0.59,0.64,2025-04-27 00:47:53,0,10,-5.7
94,Note #10: ezQ1qolnYM0NdtBbE8pzpHK6NNbFz0,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,94,personal,SEED-TEST-DATA-USER-001,0.42,0.83,2025-04-27 00:47:53,0,1,0.4
95,Note #11: O8dNUiGykvjemAYiHMtjAC2zzBiU9Z,#7AFF7D,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,95,public,,0.14,0.39,2025-04-27 00:47:53,0,5,-6.0
96,Note #12: LeM8GefJRdHw4cMMlGBKwNHEqUKXSW,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,96,public,,0.34,0.73,2025-04-27 00:47:53,0,2,0.8
97,Note #13: kMzWtPIlLPE9OE64BxKyfvYa85Cz C,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,97,public,,0.54,0.13,2025-04-27 00:47:53,0,8,-2.2
97,Note #13: kMzWtPIlLPE9OE64BxKyfvYa85Cz C,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,134,personal,system_user,0.54,0.13,2025-04-27 19:39:24,0,0,0.0
98,Note #14: 7XCH7GXYvlbR7yyjpD0lpEUdYJxUVx,#FEFF9C,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,98,public,,0.13,0.22,2025-04-27 00:47:53,0,6,9.5
99,Note #15: VlIGqxPrnHreosruwdpLRo2PoLyHAj,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,99,public,,0.68,0.26,2025-04-27 00:47:53,0,5,9.1
99,Note #15: VlIGqxPrnHreosruwdpLRo2PoLyHAj,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,143,personal,system_user,0.68,0.26,2025-04-27 19:41:35,0,0,0.0
100,Note #16: n0daCqyThVcs9BzWSa2LGtNlp zsnl,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,100,personal,SEED-TEST-DATA-USER-001,0.5,0.39,2025-04-27 00:47:53,0,4,-6.8
101,Note #17: BU3WPvs8qnMELLRKaKXwShBaZxPZ06,#7AFCFF,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,101,trash,SEED-TEST-DATA-USER-001,0.8,0.73,2025-04-27 00:47:53,0,5,-9.5
102,Note #18: jhZXTtPSLBlUF7ONjwmeJ00lYiH4SO,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,102,trash,SEED-TEST-DATA-USER-001,0.31,0.19,2025-04-27 00:47:53,0,3,-3.0
103,Note #19: 3IdUZbSW7BrNDiP27hqmChU8HaFIWp,#7AFCFF,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,103,trash,SEED-TEST-DATA-USER-001,0.12,0.6,2025-04-27 00:47:53,0,0,9.4
104,Note #20: dtLS9535jEPP7TP bxt7XV3uqzYN3t,#FF7EB9,text,2025-04-27 00:47:53,2025-04-28 00:47:53,sticky,0,,SEED-TEST-DATA-USER-001,0,104,personal,SEED-TEST-DATA-USER-001,0.79,0.23,2025-04-27 00:47:53,0,8,-6.4
113,"Feeling pretty good today, thanks for asking.",#FF7EB9,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,2.0,user-2,0,107,public,,0.65,0.82,2025-04-27 14:27:59,0,1,-2.5
114,There once was a cat who ruled the moon.,#7AFCFF,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,3.0,user-2,0,106,public,,0.86,0.62,2025-04-27 14:27:59,0,1,3.6
115,Pineapple does belong on pizza.,#7AFF7D,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,4.0,user-2,0,105,public,,0.63,0.71,2025-04-27 14:27:59,0,1,-1.0
115,Pineapple does belong on pizza.,#7AFF7D,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,4.0,user-2,0,162,personal,system_user,0.63,0.71,2025-04-28 01:11:27,0,0,0.0
116,"Feeling overwhelmed, but hopeful.",#FF7EB9,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,2.0,user-3,0,110,public,,0.88,0.84,2025-04-27 14:27:59,0,1,1.2
117,"A robot woke up and asked: ""What is love?""",#7AFCFF,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,3.0,user-3,0,109,public,,0.4,0.75,2025-04-27 14:27:59,0,1,1.5
118,One of my socks vanished again...,#7AFF7D,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,4.0,user-3,0,108,public,,0.64,0.67,2025-04-27 14:27:59,0,1,-4.6
119,Today is just... quiet.,#FF7EB9,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,2.0,user-4,0,113,public,,0.21,0.42,2025-04-27 14:27:59,0,1,0.8
119,Today is just... quiet.,#FF7EB9,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,2.0,user-4,0,170,personal,system_user,0.21,0.42,2025-04-28 02:34:22,0,0,0.0
120,The tree whispered secrets to the wind.,#7AFCFF,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,3.0,user-4,0,112,public,,0.86,0.5,2025-04-27 14:27:59,0,1,3.3
121,Sometimes I wish the sky was green.,#7AFF7D,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,4.0,user-4,0,111,public,,0.42,0.38,2025-04-27 14:27:59,0,1,-0.3
121,Sometimes I wish the sky was green.,#7AFF7D,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,4.0,user-4,0,137,personal,system_user,0.42,0.38,2025-04-27 19:39:35,0,0,0.0
122,Just grateful to be here.,#FF7EB9,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,2.0,user-5,0,116,public,,0.15,0.41,2025-04-27 14:27:59,0,1,2.2
123,"""She opened the journal, and it blinked.""",#7AFCFF,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,3.0,user-5,0,115,public,,0.29,0.59,2025-04-27 14:27:59,0,1,2.0
124,Bananas and ketchup are surprisingly good.,#7AFF7D,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,4.0,user-5,0,114,public,,0.34,0.76,2025-04-27 14:27:59,0,1,4.0
125,"Honestly, I needed this prompt today.",#FF7EB9,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,2.0,user-6,0,119,public,,0.38,0.7,2025-04-27 14:27:59,0,1,-1.9
126,"In a world without stars, she lit a candle.",#7AFCFF,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,3.0,user-6,0,118,public,,0.64,0.59,2025-04-27 14:27:59,0,1,-1.4
126,"In a world without stars, she lit a candle.",#7AFCFF,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,3.0,user-6,0,161,personal,system_user,0.64,0.59,2025-04-28 01:05:32,0,0,0.0
127,I forgot what I was doing halfway through.,#7AFF7D,text,2025-04-27 14:27:59,2025-04-28 14:27:59,sticky,0,4.0,user-6,0,117,public,,0.15,0.4,2025-04-27 14:27:59,0,1,1.3
133,"asdasd

asdasd",#ffffcc,text,2025-04-27 18:52:02,2025-04-28 18:52:02,sticky,0,,system_user,0,120,public,,0.437996,0.2,2025-04-27 18:52:02,0,0,0.0
133,"asdasd

asdasd",#ffffcc,text,2025-04-27 18:52:02,2025-04-28 18:52:02,sticky,0,,system_user,0,136,personal,system_user,0.437996,0.2,2025-04-27 19:39:33,0,0,0.0
134,"asdasd

asdasd",#ffffcc,text,2025-04-27 18:52:05,2025-04-28 18:52:05,sticky,0,,system_user,0,121,public,,0.3062,0.127632,2025-04-27 18:52:05,0,0,0.0
135,"Test

asdasdasdasd",#ccffcc,text,2025-04-27 18:52:10,2025-04-28 18:52:10,sticky,0,,system_user,0,122,public,,0.0977235,0.730263,2025-04-27 18:52:10,0,0,0.0
135,"Test

asdasdasdasd",#ccffcc,text,2025-04-27 18:52:10,2025-04-28 18:52:10,sticky,0,,system_user,0,148,personal,system_user,0.0977235,0.730263,2025-04-27 23:19:20,0,0,0.0
136,"asdasd

asd",#ffffcc,text,2025-04-27 19:22:44,2025-04-28 19:22:44,sticky,0,,system_user,0,123,public,,0.800967,0.208115,2025-04-27 19:22:44,0,0,0.0
137,"t

ttt",#ffccff,text,2025-04-27 19:22:49,2025-04-28 19:22:49,sticky,0,,system_user,0,124,public,,0.117211,0.0759162,2025-04-27 19:22:49,0,0,0.0
137,"t

ttt",#ffccff,text,2025-04-27 19:22:49,2025-04-28 19:22:49,sticky,0,,system_user,0,142,personal,system_user,0.117211,0.0759162,2025-04-27 19:41:31,0,0,0.0
138,"test

tetst",#ffffcc,text,2025-04-27 23:18:59,2025-04-28 23:18:59,sticky,0,,system_user,0,144,public,,0.76329,0.0994764,2025-04-27 23:18:59,0,0,0.0
138,"test

tetst",#ffffcc,text,2025-04-27 23:18:59,2025-04-28 23:18:59,sticky,0,,system_user,0,153,personal,system_user,0.76329,0.0994764,2025-04-28 01:01:51,0,0,0.0
139,"tetst

tetet",#ffccff,text,2025-04-27 23:19:05,2025-04-28 23:19:05,sticky,0,,system_user,0,145,public,,0.0743753,0.628272,2025-04-27 23:19:05,0,0,0.0
139,"tetst

tetet",#ffccff,text,2025-04-27 23:19:05,2025-04-28 23:19:05,sticky,0,,system_user,0,146,personal,system_user,0.0743753,0.628272,2025-04-27 23:19:08,0,0,0.0
140,"asdasd

asd",#ffffcc,text,2025-04-28 00:43:34,2025-04-29 00:43:34,sticky,0,,system_user,0,149,public,,0.474492,0.104712,2025-04-28 00:43:34,0,0,0.0
141,"asdasdasd

asdasd",#ffffcc,text,2025-04-28 00:53:58,2025-04-29 00:53:58,sticky,0,,system_user,0,151,public,,0.630122,0.274869,2025-04-28 00:53:58,0,0,0.0
141,"asdasdasd

asdasd",#ffffcc,text,2025-04-28 00:53:58,2025-04-29 00:53:58,sticky,0,,system_user,0,152,personal,system_user,0.630122,0.274869,2025-04-28 00:54:02,0,0,0.0
142,"Test note

asdiashdiashdciachscd",#ffccff,text,2025-04-28 01:20:40,2025-04-29 01:20:40,sticky,0,,system_user,0,163,public,,0.560806,0.570905,2025-04-28 01:20:40,0,0,0.0
142,"Test note

asdiashdiashdciachscd",#ffccff,text,2025-04-28 01:20:40,2025-04-29 01:20:40,sticky,0,,system_user,0,164,personal,system_user,0.560806,0.570905,2025-04-28 01:20:53,0,0,0.0
145,"ssssss

ssssssss",#ffffcc,text,2025-04-28 02:33:25,2025-04-29 02:33:25,sticky,0,,system_user,0,166,public,,0.727348,0.496333,2025-04-28 02:33:25,0,0,0.0
146,"TEST ARCHIVE

this note is to test we can archive from the bulletin board",#ccffff,text,2025-04-28 02:34:50,2025-04-29 02:34:50,sticky,0,,system_user,0,171,public,,0.647072,0.101467,2025-04-28 02:34:50,0,0,0.0
146,"TEST ARCHIVE

this note is to test we can archive from the bulletin board",#ccffff,text,2025-04-28 02:34:50,2025-04-29 02:34:50,sticky,0,,system_user,0,172,personal,system_user,0.647072,0.101467,2025-04-28 02:34:52,0,0,0.0
147,Test note from Postman,#ffffcc,text,2025-04-28 02:42:34,2025-04-29 02:42:34,sticky,0,,system_user,0,173,public,,0.5,0.5,2025-04-28 02:42:34,0,0,0.0
148,Postman Prompt note created,#FFFFF3,text,2025-04-28 02:44:00,2025-04-29 02:44:00,sticky,1,,system_user,0,174,public,,0.5,0.5,2025-04-28 02:44:00,0,0,0.0
149,Postman Prompt note created,#FFFFF3,text,2025-04-28 02:44:13,2025-04-29 02:44:13,sticky,1,,system_user,0,175,public,,0.5,0.5,2025-04-28 02:44:13,0,0,0.0
150,"tttesst

",#ffccff,text,2025-04-28 03:06:17,2025-04-29 03:06:17,sticky,0,,system_user,0,176,public,,0.334357,0.348411,2025-04-28 03:06:17,0,0,0.0
150,"tttesst

",#ffccff,text,2025-04-28 03:06:17,2025-04-29 03:06:17,sticky,0,,system_user,0,177,personal,system_user,0.334357,0.348411,2025-04-28 03:06:19,0,0,0.0
151,"bb

bbb",#ccffff,text,2025-04-28 03:17:17,2025-04-29 03:17:17,sticky,0,,system_user,0,178,public,,0.5,0.5,2025-04-28 03:17:17,0,0,0.0
151,"bb

bbb",#ccffff,text,2025-04-28 03:17:17,2025-04-29 03:17:17,sticky,0,,system_user,0,179,personal,system_user,0.74532,0.700489,2025-04-28 03:17:17,0,0,0.0
152,"asd

asdasd",#ffffcc,text,2025-04-28 03:42:12,2025-04-29 03:42:12,sticky,0,,system_user,0,183,public,,0.5,0.5,2025-04-28 03:42:12,0,0,0.0
152,"asd

asdasd",#ffffcc,text,2025-04-28 03:42:12,2025-04-29 03:42:12,sticky,0,,system_user,0,184,personal,system_user,0.297813,0.709046,2025-04-28 03:42:12,0,0,0.0
